"seccion_censal","lat_centro","lon_centro"
"2807901001",40.4174262,-3.71657486
"2807901002",40.42178893,-3.71073549
"2807901003",40.42065734,-3.70876913
"2807901004",40.41934494,-3.71047982
"2807901006",40.41730639,-3.71003775
"2807901007",40.41609874,-3.71043606
"2807901008",40.41482825,-3.70905361
"2807901009",40.41429964,-3.71095532
"2807901011",40.41261303,-3.71043722
"2807901012",40.41215219,-3.70862033
"2807901013",40.41033839,-3.71002638
"2807901014",40.41066802,-3.71153552
"2807901015",40.41146765,-3.71303546
"2807901016",40.41311003,-3.71252802
"2807901018",40.41169168,-3.71555718
"2807901019",40.40920838,-3.7160812
"2807901020",40.40923296,-3.71335859
"2807901021",40.40814926,-3.71207023
"2807901022",40.40736049,-3.71005514
"2807901023",40.40902547,-3.70930793
"2807901024",40.41028563,-3.70817661
"2807901025",40.41215701,-3.70665214
"2807901026",40.41336356,-3.70488824
"2807901027",40.41291235,-3.70173565
"2807901028",40.41161022,-3.70488523
"2807901029",40.41057132,-3.70586595
"2807901030",40.40937729,-3.705904
"2807901031",40.40942031,-3.70745313
"2807901032",40.40709363,-3.70758804
"2807901033",40.4088458,-3.70574664
"2807901034",40.40961951,-3.70353383
"2807901035",40.40833737,-3.70360235
"2807901036",40.4081229,-3.70529955
"2807901037",40.40720529,-3.70502002
"2807901038",40.4074046,-3.70262046
"2807901039",40.40613656,-3.70360104
"2807901040",40.40620391,-3.70087985
"2807901041",40.40707781,-3.70022028
"2807901042",40.40833679,-3.70144549
"2807901043",40.41001412,-3.70293097
"2807901045",40.4119726,-3.70148171
"2807901046",40.41100499,-3.69938399
"2807901047",40.41099365,-3.70208382
"2807901048",40.4097971,-3.70159584
"2807901049",40.41014732,-3.70034991
"2807901050",40.4091015,-3.70019091
"2807901051",40.40972574,-3.69881372
"2807901053",40.40896014,-3.6972327
"2807901054",40.40814725,-3.69902449
"2807901055",40.40748542,-3.6986439
"2807901056",40.4066321,-3.6988064
"2807901057",40.40770259,-3.69550911
"2807901058",40.40940654,-3.69431884
"2807901059",40.41101457,-3.69759304
"2807901061",40.41089772,-3.69545357
"2807901062",40.41073741,-3.69366229
"2807901063",40.41213436,-3.69407077
"2807901064",40.41321301,-3.6949243
"2807901065",40.41373014,-3.69780462
"2807901066",40.4122353,-3.6971342
"2807901067",40.41345976,-3.70041821
"2807901068",40.41446008,-3.69897861
"2807901069",40.41532301,-3.70098535
"2807901071",40.4146163,-3.69527192
"2807901072",40.41723116,-3.69672256
"2807901073",40.42161569,-3.69396991
"2807901074",40.42009674,-3.69776868
"2807901075",40.42209967,-3.70040894
"2807901076",40.4214537,-3.69921246
"2807901077",40.42189107,-3.69697526
"2807901079",40.42368955,-3.69663054
"2807901081",40.42350327,-3.69852998
"2807901082",40.4249574,-3.69872322
"2807901084",40.42487555,-3.69344605
"2807901087",40.42649673,-3.69668912
"2807901088",40.42696367,-3.69947446
